ERROR:root:Error processing C:\Users\kanis\Desktop\chartered_final\manager\tmp\37f5f900-596e-4113-a4b2-64bb92c8a8b3.jpg: C:\Users\Asus\Downloads\Tesseract-OCR\Tesseract-OCR\tesseract.exe is not installed or it's not in your PATH. See README file for more information.
ERROR:root:Error processing C:\Users\kanis\Desktop\chartered_final\manager\tmp\d3f12c69-bcf4-4494-9609-395adb971603.jpg: [WinError 5] Access is denied
ERROR:root:Error processing C:\Users\kanis\Desktop\chartered_final\manager\tmp\a71a8210-37cb-422a-a7e6-c032b2282720.pdf: OpenCV(4.6.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\color.cpp:182: error: (-215:Assertion failed) !_src.empty() in function 'cv::cvtColor'

DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_8ebeo06f_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_8ebeo06f', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_079347ib_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_079347ib', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_uzdrd4ms_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_uzdrd4ms', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_snszyysr_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_snszyysr', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_5dz3frww_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_5dz3frww', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_w1_su_xd_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_w1_su_xd', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_m401gp0t_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_m401gp0t', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_1_3v0sk7_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_1_3v0sk7', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_bt3xikvv_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_bt3xikvv', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_63ckox7s_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_63ckox7s', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_en8kwg53_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_en8kwg53', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_pge2mm7b_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_pge2mm7b', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_4e1s8qrg_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_4e1s8qrg', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_pw798uv1_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_pw798uv1', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_q2xkzqen_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_q2xkzqen', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_nycse4___input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_nycse4__', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess__plv_df3_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess__plv_df3', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_9p3z22v5_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_9p3z22v5', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_676zapwc_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_676zapwc', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_t_nekm9g_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_t_nekm9g', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_l1at6_ut_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_l1at6_ut', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_p03mcx68_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_p03mcx68', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_drmgbwnw_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_drmgbwnw', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_02pmc8v0_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_02pmc8v0', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_vqoyyoxp_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_vqoyyoxp', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_gu19mb4e_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_gu19mb4e', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_1pf9iw8z_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_1pf9iw8z', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_ys2xs_fw_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_ys2xs_fw', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_14t6j46d_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_14t6j46d', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_8tq176hx_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_8tq176hx', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_mompqvto_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_mompqvto', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess__xvifjh7_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess__xvifjh7', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_ulrwwy72_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_ulrwwy72', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_72uqrv2a_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_72uqrv2a', '-l', 'eng', 'txt']
DEBUG:pytesseract:['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_vi3vq8b6_input.PNG', 'C:\\Users\\asus\\AppData\\Local\\Temp\\tess_vi3vq8b6', '-l', 'eng', 'txt']
